Ticker,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,07-02-2023,150.63999938964844,155.22999572753906,150.63999938964844,154.64999389648438,154.4142303466797,83322600
AAPL,08-02-2023,153.8800048828125,154.5800018310547,151.1699981689453,151.9199981689453,151.6884002685547,64120100
AAPL,09-02-2023,153.77999877929688,154.3300018310547,150.4199981689453,150.8699951171875,150.63999938964844,56007100
AAPL,10-02-2023,149.4600067138672,151.33999633789062,149.22000122070312,151.00999450683594,151.00999450683594,57450700
AAPL,13-02-2023,150.9499969482422,154.25999450683594,150.9199981689453,153.85000610351562,153.85000610351562,62199000
AAPL,14-02-2023,152.1199951171875,153.77000427246094,150.86000061035156,153.1999969482422,153.1999969482422,61707600
AAPL,15-02-2023,153.11000061035156,155.5,152.8800048828125,155.3300018310547,155.3300018310547,65573800
AAPL,16-02-2023,153.50999450683594,156.3300018310547,153.35000610351562,153.7100067138672,153.7100067138672,68167900
AAPL,17-02-2023,152.35000610351562,153,150.85000610351562,152.5500030517578,152.5500030517578,59144100
AAPL,21-02-2023,150.1999969482422,151.3000030517578,148.41000366210938,148.47999572753906,148.47999572753906,58867200
AAPL,22-02-2023,148.8699951171875,149.9499969482422,147.16000366210938,148.91000366210938,148.91000366210938,51011300
AAPL,23-02-2023,150.08999633789062,150.33999633789062,147.24000549316406,149.39999389648438,149.39999389648438,48394200
AAPL,24-02-2023,147.11000061035156,147.19000244140625,145.72000122070312,146.7100067138672,146.7100067138672,55469600
AAPL,27-02-2023,147.7100067138672,149.1699981689453,147.4499969482422,147.9199981689453,147.9199981689453,44998500
AAPL,28-02-2023,147.0500030517578,149.0800018310547,146.8300018310547,147.41000366210938,147.41000366210938,50547000
AAPL,01-03-2023,146.8300018310547,147.22999572753906,145.00999450683594,145.30999755859375,145.30999755859375,55479000
AAPL,02-03-2023,144.3800048828125,146.7100067138672,143.89999389648438,145.91000366210938,145.91000366210938,52238100
AAPL,03-03-2023,148.0399932861328,151.11000061035156,147.3300018310547,151.02999877929688,151.02999877929688,70732300
AAPL,06-03-2023,153.7899932861328,156.3000030517578,153.4600067138672,153.8300018310547,153.8300018310547,87558000
AAPL,07-03-2023,153.6999969482422,154.02999877929688,151.1300048828125,151.60000610351562,151.60000610351562,56182000
AAPL,08-03-2023,152.80999755859375,153.47000122070312,151.8300018310547,152.8699951171875,152.8699951171875,47204800
AAPL,09-03-2023,153.55999755859375,154.5399932861328,150.22999572753906,150.58999633789062,150.58999633789062,53833600
AAPL,10-03-2023,150.2100067138672,150.94000244140625,147.61000061035156,148.5,148.5,68572400
AAPL,13-03-2023,147.80999755859375,153.13999938964844,147.6999969482422,150.47000122070312,150.47000122070312,84457100
AAPL,14-03-2023,151.27999877929688,153.39999389648438,150.10000610351562,152.58999633789062,152.58999633789062,73695900
AAPL,15-03-2023,151.19000244140625,153.25,149.9199981689453,152.99000549316406,152.99000549316406,77167900
AAPL,16-03-2023,152.16000366210938,156.4600067138672,151.63999938964844,155.85000610351562,155.85000610351562,76161100
